order_id,order_date,ship_date,dias_envio,ship_mode,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,sales,quantity,discount,profit,margen_utilidad,nivel_descuento,nivel_rentabilidad,venta_no_rentable,anio,mes,trimestre,row_id,country,postal_code,product_id,prediccion_perdida,probabilidad_perdida,nivel_riesgo_comercial
US-2014-140914,2014-11-11,2014-11-15,4,Standard Class,BH-11710,Brosina Hoffman,Consumer,Central,Illinois,Chicago,Furniture,Furnishings,DAX Wood Document Frame.,10.984,2,0.6,-7.9634,-0.725,Alto,Perdida,1,2014,11,4,9748,United States,60653,FUR-FU-10000175,1,1.0,Alto
US-2015-138919,2015-09-17,2015-09-21,4,Standard Class,LS-16975,Lindsay Shagiari,Home Office,East,New York,New York City,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",344.22,2,0.4,-103.266,-0.3,Alto,Perdida,1,2015,9,3,3016,United States,10035,FUR-TA-10004154,1,1.0,Alto
US-2017-123834,2017-07-21,2017-07-25,4,Standard Class,GM-14500,Gene McClure,Consumer,Central,Texas,Pharr,Furniture,Tables,Hon 61000 Series Interactive Training Tables,124.404,4,0.3,-21.3264,-0.1714285714285714,Medio,Perdida,1,2017,7,3,7845,United States,78577,FUR-TA-10001676,1,1.0,Alto
US-2015-114839,2015-04-26,2015-04-30,4,Standard Class,PW-19240,Pierre Wener,Consumer,Central,Texas,Houston,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,408.422,2,0.3,-5.8346,-0.0142857142857142,Medio,Perdida,1,2015,4,2,2899,United States,77036,FUR-CH-10004086,1,1.0,Alto
CA-2016-157749,2016-06-04,2016-06-09,5,Second Class,KL-16645,Ken Lonsdale,Consumer,Central,Illinois,Chicago,Furniture,Tables,KI Conference Tables,177.225,5,0.5,-120.513,-0.68,Alto,Perdida,1,2016,6,2,242,United States,60610,FUR-TA-10002607,1,1.0,Alto
CA-2016-109400,2016-05-02,2016-05-06,4,Standard Class,NR-18550,Nick Radford,Consumer,Central,Texas,Amarillo,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",366.744,4,0.3,-110.0232,-0.3,Medio,Perdida,1,2016,5,2,8505,United States,79109,FUR-CH-10003298,1,1.0,Alto
CA-2015-157322,2015-07-02,2015-07-06,4,Standard Class,RH-19600,Rob Haberlin,Consumer,Central,Illinois,Carol Stream,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",382.116,6,0.3,-92.7996,-0.2428571428571428,Medio,Perdida,1,2015,7,3,3490,United States,60188,FUR-CH-10003774,1,1.0,Alto
CA-2016-130050,2016-07-16,2016-07-18,2,Second Class,MC-17425,Mark Cousins,Corporate,Central,Texas,Houston,Furniture,Furnishings,Staple-based wall hangings,9.552,3,0.6,-3.8208,-0.4,Alto,Perdida,1,2016,7,3,3365,United States,77036,FUR-FU-10001940,1,1.0,Alto
CA-2016-146934,2016-05-22,2016-05-27,5,Standard Class,AF-10870,Art Ferguson,Consumer,East,New Jersey,Passaic,Furniture,Tables,Bevis 36 x 72 Conference Tables,174.286,2,0.3,-19.9184,-0.1142857142857142,Medio,Perdida,1,2016,5,2,2442,United States,7055,FUR-TA-10003748,1,1.0,Alto
CA-2015-157322,2015-07-02,2015-07-06,4,Standard Class,RH-19600,Rob Haberlin,Consumer,Central,Illinois,Carol Stream,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,408.422,2,0.3,-5.8346,-0.0142857142857142,Medio,Perdida,1,2015,7,3,3489,United States,60188,FUR-CH-10004086,1,1.0,Alto
US-2014-148838,2014-03-17,2014-03-21,4,Standard Class,CP-12340,Christine Phan,Corporate,East,New York,New York City,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",613.908,3,0.4,-122.7816,-0.1999999999999999,Alto,Perdida,1,2014,3,1,2360,United States,10024,FUR-TA-10004175,1,1.0,Alto
CA-2017-132199,2017-05-03,2017-05-08,5,Standard Class,BO-11350,Bill Overfelt,Corporate,East,Pennsylvania,Philadelphia,Furniture,Tables,Bevis 36 x 72 Conference Tables,373.47,5,0.4,-112.041,-0.3,Alto,Perdida,1,2017,5,2,8354,United States,19134,FUR-TA-10003748,1,1.0,Alto
CA-2017-113908,2017-06-03,2017-06-09,6,Standard Class,KN-16390,Katherine Nockton,Corporate,East,New York,New York City,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",384.768,2,0.4,-115.4304,-0.3,Alto,Perdida,1,2017,6,2,6484,United States,10011,FUR-TA-10001932,1,1.0,Alto
CA-2017-100615,2017-04-20,2017-04-24,4,Standard Class,SJ-20215,Sarah Jordon,Consumer,Central,Illinois,Chicago,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,317.058,3,0.3,-18.1176,-0.0571428571428571,Medio,Perdida,1,2017,4,2,6766,United States,60653,FUR-CH-10002602,1,1.0,Alto
CA-2016-145303,2016-08-28,2016-08-31,3,First Class,TP-21415,Tom Prescott,Consumer,Central,Texas,Dallas,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",156.3728,2,0.32,-52.8908,-0.338235294117647,Alto,Perdida,1,2016,8,3,4072,United States,75081,FUR-BO-10003159,1,1.0,Alto
CA-2016-150483,2016-05-31,2016-06-04,4,Standard Class,BP-11290,Beth Paige,Consumer,Central,Illinois,Decatur,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,191.079,3,0.3,-38.2158,-0.2,Medio,Perdida,1,2016,5,2,8903,United States,62521,FUR-CH-10000422,1,1.0,Alto
CA-2016-128916,2016-08-18,2016-08-20,2,Second Class,MA-17560,Matt Abelman,Home Office,Central,Texas,Houston,Furniture,Furnishings,Staple-based wall hangings,9.552,3,0.6,-3.8208,-0.4,Alto,Perdida,1,2016,8,3,9125,United States,77070,FUR-FU-10001940,1,1.0,Alto
CA-2015-163181,2015-11-07,2015-11-12,5,Standard Class,AB-10105,Adrian Barton,Consumer,Central,Texas,Houston,Furniture,Furnishings,Tenex Chairmats For Use with Hard Floors,64.96,5,0.6,-84.448,-1.3,Alto,Perdida,1,2015,11,4,9104,United States,77041,FUR-FU-10000193,1,1.0,Alto
US-2017-150595,2017-05-22,2017-05-26,4,Standard Class,LE-16810,Laurel Elliston,Consumer,Central,Illinois,Chicago,Furniture,Chairs,High-Back Leather Manager's Chair,181.986,2,0.3,-54.5958,-0.3,Medio,Perdida,1,2017,5,2,5540,United States,60653,FUR-CH-10000513,1,0.9966666666666667,Alto
US-2017-147669,2017-12-25,2017-12-30,5,Standard Class,SV-20935,Susan Vittorini,Consumer,East,Ohio,Fairfield,Furniture,Tables,Hon Rectangular Conference Tables,273.06,2,0.4,-104.673,-0.3833333333333333,Alto,Perdida,1,2017,12,4,2426,United States,45014,FUR-TA-10002645,1,0.9966666666666667,Alto
CA-2016-116337,2016-11-07,2016-11-12,5,Standard Class,MC-17845,Michael Chen,Consumer,Central,Texas,Dallas,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",44.46,5,0.6,-17.784,-0.3999999999999999,Alto,Perdida,1,2016,11,4,8212,United States,75220,FUR-FU-10002030,1,0.9966666666666667,Alto
CA-2017-144491,2017-03-27,2017-04-01,5,Standard Class,CJ-12010,Caroline Jumper,Consumer,Central,Texas,Houston,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,-0.0142857142857142,Medio,Perdida,1,2017,3,1,9789,United States,77070,FUR-CH-10004063,1,0.9966666666666667,Alto
US-2014-140452,2014-12-06,2014-12-10,4,Standard Class,BK-11260,Berenike Kampe,Consumer,Central,Illinois,Chicago,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,10.776,3,0.6,-4.8492,-0.45,Alto,Perdida,1,2014,12,4,5097,United States,60610,FUR-FU-10002088,1,0.9966666666666667,Alto
CA-2014-106229,2014-06-07,2014-06-11,4,Second Class,NR-18550,Nick Radford,Consumer,Central,Illinois,Aurora,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",268.935,3,0.5,-209.7693,-0.7799999999999999,Alto,Perdida,1,2014,6,2,4722,United States,60505,FUR-TA-10002041,1,0.9966666666666667,Alto
CA-2015-139584,2015-08-24,2015-08-28,4,Standard Class,EM-13810,Eleni McCrary,Corporate,East,New York,New York City,Furniture,Tables,Chromcraft Rectangular Conference Tables,284.364,2,0.4,-75.8304,-0.2666666666666666,Alto,Perdida,1,2015,8,3,3157,United States,10009,FUR-TA-10001539,1,0.9966666666666667,Alto
CA-2014-120544,2014-11-23,2014-11-27,4,Standard Class,SS-20140,Saphhira Shifley,Corporate,Central,Texas,Mesquite,Furniture,Furnishings,Staple-based wall hangings,6.368,2,0.6,-2.5472,-0.4,Alto,Perdida,1,2014,11,4,3708,United States,75150,FUR-FU-10001940,1,0.9966666666666667,Alto
US-2015-168704,2015-04-13,2015-04-17,4,Standard Class,FP-14320,Frank Preis,Consumer,Central,Texas,Huntsville,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",211.372,2,0.3,-45.294,-0.2142857142857142,Medio,Perdida,1,2015,4,2,8930,United States,77340,FUR-TA-10002530,1,0.9966666666666667,Alto
US-2016-111563,2016-11-04,2016-11-08,4,Standard Class,SM-20005,Sally Matthias,Consumer,Central,Texas,Houston,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",11.376,3,0.6,-5.688,-0.5,Alto,Perdida,1,2016,11,4,9322,United States,77041,FUR-FU-10002445,1,0.9966666666666667,Alto
CA-2016-163153,2016-03-21,2016-03-25,4,Standard Class,DM-12955,Dario Medina,Corporate,Central,Texas,Houston,Furniture,Tables,Safco Drafting Table,99.372,2,0.3,-1.4196,-0.0142857142857142,Medio,Perdida,1,2016,3,1,3766,United States,77036,FUR-TA-10004767,1,0.9966666666666667,Alto
CA-2016-128916,2016-08-18,2016-08-20,2,Second Class,MA-17560,Matt Abelman,Home Office,Central,Texas,Houston,Furniture,Furnishings,OIC Stacking Trays,5.344,4,0.6,-2.1376,-0.3999999999999999,Alto,Perdida,1,2016,8,3,9126,United States,77070,FUR-FU-10000320,1,0.9966666666666667,Alto
CA-2017-121300,2017-09-29,2017-09-29,0,Same Day,MG-17680,Maureen Gastineau,Home Office,East,Ohio,Mentor,Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series,344.22,2,0.4,-189.321,-0.5499999999999999,Alto,Perdida,1,2017,9,3,4474,United States,44060,FUR-TA-10004442,1,0.9966666666666667,Alto
CA-2014-122931,2014-09-29,2014-10-03,4,Standard Class,SM-20950,Suzanne McNair,Corporate,East,Pennsylvania,Philadelphia,Furniture,Tables,Hon 4060 Series Tables,67.176,1,0.4,-20.1528,-0.3,Alto,Perdida,1,2014,9,3,4057,United States,19134,FUR-TA-10004147,1,0.9966666666666667,Alto
US-2015-164175,2015-04-30,2015-05-05,5,Standard Class,PS-18970,Paul Stevenson,Home Office,Central,Illinois,Chicago,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,-0.0714285714285714,Medio,Perdida,1,2015,4,2,67,United States,60610,FUR-CH-10001146,1,0.9966666666666667,Alto
CA-2014-100678,2014-04-18,2014-04-22,4,Standard Class,KM-16720,Kunst Miller,Consumer,Central,Texas,Houston,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,317.058,3,0.3,-18.1176,-0.0571428571428571,Medio,Perdida,1,2014,4,2,6570,United States,77095,FUR-CH-10002602,1,0.9966666666666667,Alto
CA-2017-163265,2017-02-16,2017-02-21,5,Standard Class,JS-16030,Joy Smith,Consumer,Central,Illinois,Decatur,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,-0.0142857142857142,Medio,Perdida,1,2017,2,1,8674,United States,62521,FUR-CH-10004063,1,0.9966666666666667,Alto
CA-2015-118955,2015-06-16,2015-06-20,4,Standard Class,LS-17230,Lycoris Saunders,Consumer,Central,Texas,Grand Prairie,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,197.372,2,0.3,-25.3764,-0.1285714285714285,Medio,Perdida,1,2015,6,2,3939,United States,75051,FUR-CH-10001708,1,0.9966666666666667,Alto
CA-2016-145730,2016-03-03,2016-03-08,5,Standard Class,CC-12220,Chris Cortes,Consumer,Central,Texas,San Antonio,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.896,3,0.3,-127.5792,-0.2,Medio,Perdida,1,2016,3,1,4003,United States,78207,FUR-TA-10004915,1,0.9966666666666667,Alto
CA-2016-129861,2016-06-17,2016-06-23,6,Standard Class,DM-13345,Denise Monton,Corporate,East,New York,Rochester,Furniture,Tables,Hon 2111 Invitation Series Corner Table,376.866,3,0.4,-213.5574,-0.5666666666666667,Alto,Perdida,1,2016,6,2,9604,United States,14609,FUR-TA-10003715,1,0.9966666666666667,Alto
CA-2017-106432,2017-10-19,2017-10-24,5,Standard Class,CA-12265,Christina Anderson,Consumer,Central,Texas,Waco,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,328.3992,3,0.32,-91.7586,-0.2794117647058823,Alto,Perdida,1,2017,10,4,5176,United States,76706,FUR-BO-10004360,1,0.9966666666666667,Alto
CA-2015-131352,2015-10-08,2015-10-13,5,Standard Class,GH-14485,Gene Hale,Corporate,Central,Texas,Dallas,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",72.78,3,0.6,-70.9605,-0.975,Alto,Perdida,1,2015,10,4,8134,United States,75081,FUR-FU-10003708,1,0.9966666666666667,Alto
US-2016-126844,2016-10-08,2016-10-14,6,Standard Class,BW-11110,Bart Watters,Corporate,Central,Texas,Houston,Furniture,Furnishings,Contemporary Wood/Metal Frame,51.712,8,0.6,-32.32,-0.625,Alto,Perdida,1,2016,10,4,2557,United States,77070,FUR-FU-10004909,1,0.9966666666666667,Alto
CA-2017-163006,2017-06-30,2017-07-04,4,Second Class,GH-14410,Gary Hansen,Home Office,Central,Illinois,Chicago,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",14.224,2,0.6,-10.3124,-0.725,Alto,Perdida,1,2017,6,2,5159,United States,60653,FUR-FU-10003799,1,0.9966666666666667,Alto
CA-2015-143147,2015-05-26,2015-05-28,2,Second Class,PS-18760,Pamela Stobb,Consumer,Central,Texas,San Antonio,Furniture,Chairs,"Global Stack Chair with Arms, Black",104.93,5,0.3,-4.497,-0.0428571428571428,Medio,Perdida,1,2015,5,2,9578,United States,78207,FUR-CH-10004754,1,0.9966666666666667,Alto
CA-2016-134334,2016-02-14,2016-02-15,1,First Class,DK-13090,Dave Kipp,Consumer,East,Maryland,Clinton,Furniture,Tables,Bevis Boat-Shaped Conference Table,550.431,3,0.3,-47.1798,-0.0857142857142857,Medio,Perdida,1,2016,2,1,7813,United States,20735,FUR-TA-10002356,1,0.9933333333333333,Alto
CA-2016-165484,2016-10-23,2016-10-29,6,Standard Class,HK-14890,Heather Kirkland,Corporate,Central,Illinois,Chicago,Furniture,Furnishings,DAX Cubicle Frames - 8x10,16.156,7,0.6,-12.117,-0.7500000000000001,Alto,Perdida,1,2016,10,4,1810,United States,60610,FUR-FU-10001196,1,0.9933333333333333,Alto
CA-2014-163468,2014-11-18,2014-11-21,3,First Class,JK-15730,Joe Kamberova,Consumer,Central,Illinois,Des Plaines,Furniture,Tables,BPI Conference Tables,292.1,4,0.5,-175.26,-0.5999999999999999,Alto,Perdida,1,2014,11,4,7299,United States,60016,FUR-TA-10002533,1,0.9933333333333333,Alto
CA-2014-130673,2014-05-20,2014-05-22,2,Second Class,MC-17590,Matt Collister,Corporate,Central,Texas,San Marcos,Furniture,Furnishings,Contemporary Borderless Frame,10.332,3,0.6,-5.9409,-0.575,Alto,Perdida,1,2014,5,2,8581,United States,78666,FUR-FU-10003489,1,0.9933333333333333,Alto
CA-2016-120824,2016-06-12,2016-06-16,4,Second Class,AW-10930,Arthur Wiediger,Home Office,Central,Texas,Houston,Furniture,Furnishings,Dax Clear Box Frame,6.984,2,0.6,-4.5396,-0.65,Alto,Perdida,1,2016,6,2,8718,United States,77070,FUR-FU-10001424,1,0.9933333333333333,Alto
US-2017-141558,2017-03-11,2017-03-16,5,Standard Class,MH-17290,Marc Harrigan,Home Office,East,Pennsylvania,Philadelphia,Furniture,Tables,KI Adjustable-Height Table,154.764,3,0.4,-46.4292,-0.3,Alto,Perdida,1,2017,3,1,7146,United States,19140,FUR-TA-10004086,1,0.9933333333333333,Alto
US-2017-164056,2017-04-29,2017-05-04,5,Second Class,FM-14215,Filia McAdams,Corporate,East,Ohio,Dublin,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",1048.35,5,0.4,-69.89,-0.0666666666666666,Alto,Perdida,1,2017,4,2,1728,United States,43017,FUR-TA-10001307,1,0.9933333333333333,Alto
US-2017-119319,2017-11-06,2017-11-09,3,Second Class,LC-17050,Liz Carlisle,Consumer,Central,Texas,Dallas,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",30.56,5,0.6,-19.864,-0.65,Alto,Perdida,1,2017,11,4,8621,United States,75217,FUR-FU-10003878,1,0.9933333333333333,Alto
US-2016-104815,2016-09-03,2016-09-07,4,Standard Class,RB-19570,Rob Beeghly,Consumer,Central,Illinois,Chicago,Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",198.744,4,0.3,0.0,0.0,Medio,Perdida,1,2016,9,3,7563,United States,60610,FUR-BO-10003894,1,0.9933333333333333,Alto
CA-2017-147277,2017-10-20,2017-10-24,4,Standard Class,EB-13705,Ed Braxton,Corporate,East,Ohio,Akron,Furniture,Tables,Chromcraft Rectangular Conference Tables,284.364,2,0.4,-75.8304,-0.2666666666666666,Alto,Perdida,1,2017,10,4,454,United States,44312,FUR-TA-10001539,1,0.9933333333333333,Alto
US-2014-150119,2014-04-23,2014-04-27,4,Standard Class,LB-16795,Laurel Beltran,Home Office,East,Ohio,Columbus,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",281.372,2,0.3,-12.0588,-0.0428571428571428,Medio,Perdida,1,2014,4,2,3407,United States,43229,FUR-CH-10002965,1,0.9933333333333333,Alto
CA-2017-144491,2017-03-27,2017-04-01,5,Standard Class,CJ-12010,Caroline Jumper,Consumer,Central,Texas,Houston,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",211.246,2,0.3,-66.3916,-0.3142857142857143,Medio,Perdida,1,2017,3,1,9791,United States,77070,FUR-CH-10001714,1,0.9933333333333333,Alto
US-2014-150119,2014-04-23,2014-04-27,4,Standard Class,LB-16795,Laurel Beltran,Home Office,East,Ohio,Columbus,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",281.372,2,0.3,-12.0588,-0.0428571428571428,Medio,Perdida,1,2014,4,2,3406,United States,43229,FUR-CH-10002965,1,0.9933333333333333,Alto
CA-2016-157749,2016-06-04,2016-06-09,5,Second Class,KL-16645,Ken Lonsdale,Consumer,Central,Illinois,Chicago,Furniture,Furnishings,Eldon 100 Class Desk Accessories,4.044,3,0.6,-2.8308,-0.7000000000000001,Alto,Perdida,1,2016,6,2,243,United States,60610,FUR-FU-10002505,1,0.9933333333333333,Alto
US-2016-157945,2016-09-26,2016-10-01,5,Standard Class,NF-18385,Natalie Fritzler,Consumer,Central,Illinois,Decatur,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,747.558,3,0.3,-96.1146,-0.1285714285714285,Medio,Perdida,1,2016,9,3,458,United States,62521,FUR-CH-10002331,1,0.9933333333333333,Alto
US-2017-124779,2017-09-08,2017-09-11,3,First Class,BF-11020,Barry Franzsisch,Corporate,Central,Texas,Arlington,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,21.184,2,0.6,-11.6512,-0.5499999999999999,Alto,Perdida,1,2017,9,3,6652,United States,76017,FUR-FU-10001095,1,0.9933333333333333,Alto
US-2014-148838,2014-03-17,2014-03-21,4,Standard Class,CP-12340,Christine Phan,Corporate,East,New York,New York City,Furniture,Tables,Balt Solid Wood Round Tables,1071.576,4,0.4,-553.6476,-0.5166666666666667,Alto,Perdida,1,2014,3,1,2359,United States,10024,FUR-TA-10001950,1,0.9933333333333333,Alto
CA-2016-132066,2016-10-16,2016-10-20,4,Standard Class,NB-18655,Nona Balk,Corporate,East,New York,New York City,Furniture,Tables,Chromcraft Rectangular Conference Tables,142.182,1,0.4,-37.9152,-0.2666666666666666,Alto,Perdida,1,2016,10,4,7317,United States,10011,FUR-TA-10001539,1,0.9933333333333333,Alto
CA-2016-101693,2016-06-25,2016-06-27,2,Second Class,LC-17140,Logan Currie,Consumer,Central,Texas,Houston,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",85.246,2,0.3,-6.089,-0.0714285714285714,Medio,Perdida,1,2016,6,2,7426,United States,77070,FUR-CH-10001146,1,0.9933333333333333,Alto
CA-2016-157511,2016-09-18,2016-09-20,2,First Class,SV-20365,Seth Vernon,Consumer,East,Ohio,Columbus,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",99.372,2,0.3,-7.098,-0.0714285714285714,Medio,Perdida,1,2016,9,3,3543,United States,43229,FUR-CH-10002647,1,0.9933333333333333,Alto
CA-2014-103086,2014-10-17,2014-10-19,2,Second Class,EB-14170,Evan Bailliet,Consumer,Central,Texas,Houston,Furniture,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,5.312,2,0.6,-1.5936,-0.3,Alto,Perdida,1,2014,10,4,9558,United States,77095,FUR-FU-10004586,1,0.9933333333333333,Alto
CA-2015-157133,2015-11-28,2015-12-03,5,Standard Class,LC-16885,Lena Creighton,Consumer,Central,Illinois,Champaign,Furniture,Furnishings,"Eldon ""L"" Workstation Diamond Chairmat",151.96,5,0.6,-182.352,-1.2,Alto,Perdida,1,2015,11,4,3865,United States,61821,FUR-FU-10004904,1,0.9933333333333333,Alto
CA-2014-121769,2014-04-08,2014-04-12,4,Standard Class,JS-15880,John Stevenson,Consumer,East,Ohio,Toledo,Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series,172.11,1,0.4,-94.6605,-0.5499999999999999,Alto,Perdida,1,2014,4,2,7410,United States,43615,FUR-TA-10004442,1,0.9933333333333333,Alto
US-2017-111024,2017-07-03,2017-07-06,3,Second Class,SZ-20035,Sam Zeldin,Home Office,East,Ohio,Lancaster,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",215.148,2,0.4,-103.9882,-0.4833333333333334,Alto,Perdida,1,2017,7,3,3429,United States,43130,FUR-TA-10002041,1,0.9933333333333333,Alto
CA-2017-163860,2017-12-28,2018-01-01,4,Standard Class,LO-17170,Lori Olson,Corporate,Central,Illinois,Peoria,Furniture,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,7.968,3,0.6,-2.3904,-0.3,Alto,Perdida,1,2017,12,4,6820,United States,61604,FUR-FU-10004586,1,0.9933333333333333,Alto
CA-2015-104871,2015-03-30,2015-04-03,4,Standard Class,DR-12940,Daniel Raglin,Home Office,Central,Illinois,Normal,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",366.744,4,0.3,-110.0232,-0.3,Medio,Perdida,1,2015,3,1,7002,United States,61761,FUR-CH-10003298,1,0.9933333333333333,Alto
CA-2014-166086,2014-05-07,2014-05-12,5,Standard Class,CT-11995,Carol Triggs,Consumer,East,Massachusetts,Lawrence,Furniture,Tables,Balt Split Level Computer Training Table,194.25,2,0.3,-38.85,-0.2,Medio,Perdida,1,2014,5,2,6564,United States,1841,FUR-TA-10003469,1,0.9933333333333333,Alto
CA-2015-130365,2015-04-25,2015-04-29,4,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,Central,Illinois,Aurora,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",128.058,3,0.3,-23.7822,-0.1857142857142857,Medio,Perdida,1,2015,4,2,6949,United States,60505,FUR-CH-10003535,1,0.9933333333333333,Alto
CA-2016-103919,2016-10-03,2016-10-07,4,Standard Class,TP-21565,Tracy Poddar,Corporate,Central,Texas,Grand Prairie,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",38.08,5,0.6,-29.512,-0.775,Alto,Perdida,1,2016,10,4,6370,United States,75051,FUR-FU-10001756,1,0.9933333333333333,Alto
CA-2016-110898,2016-03-06,2016-03-12,6,Standard Class,LC-16870,Lena Cacioppo,Consumer,Central,Illinois,Chicago,Furniture,Tables,Bevis Rectangular Conference Tables,145.98,2,0.5,-99.2664,-0.68,Alto,Perdida,1,2016,3,1,8985,United States,60623,FUR-TA-10000849,1,0.9933333333333333,Alto
CA-2017-102925,2017-11-05,2017-11-10,5,Second Class,CD-12280,Christina DeMoss,Consumer,East,New York,New York City,Furniture,Tables,Balt Split Level Computer Training Table,166.5,2,0.4,-66.6,-0.3999999999999999,Alto,Perdida,1,2017,11,4,9468,United States,10024,FUR-TA-10003469,1,0.9933333333333333,Alto
